EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,EmployeeCount,Over18,StandardHours,Attrition
392,25,Female,Married,Research & Development,Marketing,2,Travel_Frequently,5,Sales Executive,1,1,1,2,2,3,3,4,5,4,3,2,3,0,0,No,21,4320,152,65,5276,1,Y,80,Yes
393,33,Female,Married,Sales,Life Sciences,2,Travel_Rarely,12,Sales Representative,3,2,3,2,2,3,3,3,15,6,3,3,5,4,2,Yes,20,9476,355,67,24103,1,Y,80,No
394,43,Female,Divorced,Research & Development,Life Sciences,5,Travel_Rarely,17,Research Director,3,4,1,2,1,3,4,3,25,20,10,2,2,0,2,No,16,11221,950,41,3525,1,Y,80,No
395,48,Male,Single,Research & Development,Marketing,3,Travel_Rarely,9,Manager,1,4,3,4,3,2,3,3,28,21,15,11,10,5,1,No,21,6857,623,44,18182,1,Y,80,No
396,55,Male,Divorced,Sales,Technical Degree,2,Travel_Rarely,8,Laboratory Technician,4,2,2,3,2,4,3,2,37,33,4,4,13,3,3,Yes,23,17016,499,82,3340,1,Y,80,No
397,19,Female,Married,Sales,Technical Degree,4,Travel_Rarely,8,Sales Executive,2,2,3,1,3,2,3,3,0,0,0,0,0,2,0,No,19,6466,1406,71,26031,1,Y,80,Yes
398,26,Female,Divorced,Research & Development,Life Sciences,3,Non-Travel,9,Manager,5,3,3,2,1,3,3,5,3,2,1,0,1,6,2,No,12,14607,1367,46,16052,1,Y,80,No
399,30,Male,Married,Research & Development,Medical,4,Travel_Frequently,22,Research Scientist,1,2,3,2,1,4,3,2,7,3,1,0,0,5,0,No,21,3850,228,31,14866,1,Y,80,No
400,31,Female,Divorced,Research & Development,Technical Degree,3,Travel_Rarely,15,Healthcare Representative,5,3,4,4,1,3,3,3,13,4,0,1,1,0,1,No,12,15777,836,43,3917,1,Y,80,No
401,60,Male,Divorced,Sales,Life Sciences,1,Travel_Rarely,14,Human Resources,1,2,3,4,1,3,3,7,40,19,4,9,2,1,1,No,15,7690,1033,65,23703,1,Y,80,No
402,51,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,5,Sales Executive,4,4,4,2,4,2,3,3,29,24,9,12,13,1,0,Yes,13,15448,1192,48,12626,1,Y,80,No
403,31,Male,Divorced,Research & Development,Life Sciences,1,Travel_Frequently,16,Manager,4,3,2,2,2,3,3,1,10,3,2,0,2,4,1,No,11,13869,383,81,5500,1,Y,80,No
404,59,Male,Married,Research & Development,Medical,3,Travel_Rarely,28,Human Resources,3,4,4,1,2,3,3,0,40,28,17,14,16,5,1,No,22,11023,1291,71,19741,1,Y,80,No
405,39,Male,Married,Research & Development,Life Sciences,3,Travel_Frequently,22,Manufacturing Director,2,4,2,3,3,2,3,7,17,16,8,3,9,4,1,Yes,20,9075,1017,40,25600,1,Y,80,No
406,39,Male,Divorced,Sales,Technical Degree,4,Travel_Rarely,13,Research Director,1,2,3,1,1,2,3,9,20,18,8,2,2,2,1,No,17,6152,1330,50,2378,1,Y,80,No
407,36,Male,Married,Research & Development,Other,5,Travel_Rarely,9,Research Director,2,2,2,4,3,4,3,6,13,9,6,0,6,5,0,No,16,8099,1052,32,7046,1,Y,80,No
408,24,Male,Married,Sales,Life Sciences,1,Travel_Frequently,11,Healthcare Representative,4,1,4,3,3,3,4,0,6,5,1,0,2,5,0,Yes,20,11262,1318,32,17971,1,Y,80,No
409,58,Male,Single,Research & Development,Marketing,5,Travel_Rarely,1,Laboratory Technician,4,3,2,1,4,3,4,5,36,10,1,0,4,0,0,No,18,13430,141,83,3555,1,Y,80,No
410,18,Female,Single,Sales,Life Sciences,5,Travel_Rarely,1,Sales Representative,1,3,3,4,1,2,4,2,0,0,0,0,0,3,3,No,14,4329,415,57,20929,1,Y,80,No
411,25,Male,Divorced,Research & Development,Life Sciences,4,Travel_Frequently,23,Manager,1,2,1,4,1,3,3,3,2,1,0,0,0,4,1,No,18,3332,844,92,17254,1,Y,80,Yes
412,27,Female,Married,Sales,Technical Degree,3,Travel_Rarely,25,Healthcare Representative,3,1,3,2,4,3,3,9,7,5,1,1,3,4,1,Yes,22,9308,524,46,15416,1,Y,80,Yes
413,30,Female,Married,Research & Development,Medical,1,Travel_Rarely,29,Research Scientist,3,4,1,1,2,3,3,8,12,5,2,0,3,1,1,No,19,8074,377,52,10199,1,Y,80,Yes
414,23,Male,Single,Research & Development,Other,1,Travel_Frequently,19,Sales Representative,5,1,2,2,1,3,3,7,0,0,0,0,0,1,1,No,23,11898,1091,66,13889,1,Y,80,No
415,18,Male,Married,Research & Development,Medical,1,Travel_Frequently,27,Research Scientist,4,3,1,2,3,1,3,5,0,0,0,0,0,2,0,No,18,11742,1490,49,4065,1,Y,80,Yes
416,47,Female,Divorced,Sales,Life Sciences,4,Travel_Frequently,13,Research Scientist,3,1,2,2,2,3,3,5,24,14,10,2,7,2,0,No,17,11818,852,62,20271,1,Y,80,No
417,59,Female,Divorced,Sales,Medical,3,Travel_Frequently,8,Sales Executive,3,1,2,4,4,1,3,9,39,34,18,13,17,6,1,No,22,13997,951,38,17352,1,Y,80,No
418,23,Male,Single,Research & Development,Life Sciences,1,Non-Travel,8,Healthcare Representative,4,4,2,4,4,3,3,6,5,2,1,1,1,4,0,No,14,12213,953,35,15243,1,Y,80,No
419,30,Female,Married,Research & Development,Human Resources,1,Travel_Frequently,7,Research Scientist,3,3,2,3,3,2,3,5,11,9,3,5,5,5,2,Yes,20,10179,683,91,21586,1,Y,80,No
420,39,Male,Married,Research & Development,Marketing,1,Travel_Rarely,22,Manufacturing Director,4,1,1,4,1,2,4,0,21,12,4,2,4,0,0,Yes,20,14969,1048,47,14732,1,Y,80,No
421,57,Male,Married,Human Resources,Medical,4,Travel_Rarely,1,Laboratory Technician,1,1,3,1,3,3,3,9,39,32,18,15,8,5,1,Yes,15,7678,1229,37,12077,1,Y,80,No
422,47,Female,Married,Research & Development,Medical,4,Travel_Rarely,28,Healthcare Representative,5,2,4,1,1,2,3,8,29,22,2,8,3,1,1,No,14,16795,259,49,22045,1,Y,80,No
423,50,Male,Married,Human Resources,Marketing,4,Travel_Frequently,23,Sales Representative,5,3,2,4,4,3,3,3,29,11,9,5,7,3,1,No,12,18090,485,59,25371,1,Y,80,No
424,42,Female,Married,Sales,Technical Degree,1,Travel_Rarely,12,Healthcare Representative,3,2,1,3,3,3,3,2,20,8,0,0,7,2,3,No,13,11439,335,64,22938,1,Y,80,No
425,35,Male,Married,Research & Development,Life Sciences,1,Travel_Frequently,21,Manager,3,4,1,1,2,4,4,9,14,12,6,0,6,6,0,No,12,10838,1209,84,14777,1,Y,80,Yes
426,26,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,4,Research Scientist,3,3,3,4,4,2,3,9,7,2,1,0,1,4,0,No,20,9294,992,88,11210,1,Y,80,No
427,55,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,13,Research Scientist,5,3,4,1,3,3,3,4,34,25,18,12,16,3,1,Yes,12,16511,1040,50,5268,1,Y,80,No
428,52,Male,Divorced,Human Resources,Medical,4,Travel_Rarely,4,Human Resources,1,2,4,4,2,3,3,2,33,10,6,0,2,3,0,Yes,18,7400,975,45,12386,1,Y,80,No
429,19,Male,Married,Research & Development,Medical,2,Non-Travel,4,Manager,2,3,2,4,1,2,3,7,0,0,0,0,0,4,0,No,12,6668,845,38,22791,1,Y,80,Yes
430,48,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,1,Sales Executive,4,4,2,2,3,3,4,6,25,9,3,3,2,5,1,No,22,13408,1244,41,22019,1,Y,80,No
431,21,Female,Divorced,Research & Development,Medical,2,Travel_Rarely,24,Manager,4,1,1,3,2,4,4,9,3,2,1,1,1,4,0,No,21,9768,320,32,5207,1,Y,80,Yes
432,49,Male,Divorced,Sales,Medical,5,Travel_Rarely,22,Sales Executive,2,3,1,3,1,3,3,5,26,16,11,5,1,5,0,No,15,7822,1071,30,15621,1,Y,80,No
433,53,Male,Single,Research & Development,Life Sciences,1,Non-Travel,26,Sales Executive,1,4,4,4,1,4,3,5,34,12,6,5,6,5,1,No,22,7079,1268,59,18727,1,Y,80,No
434,23,Male,Married,Research & Development,Human Resources,4,Travel_Rarely,29,Manufacturing Director,3,2,2,3,3,3,3,1,1,0,0,0,0,0,1,No,14,7630,390,73,19170,1,Y,80,No
435,36,Male,Single,Research & Development,Marketing,3,Travel_Rarely,28,Manager,4,4,2,2,4,3,3,6,17,15,2,8,9,2,2,No,20,12059,1093,88,23884,1,Y,80,No
436,23,Female,Married,Research & Development,Medical,1,Travel_Rarely,29,Manager,4,2,2,1,2,4,3,3,5,3,1,0,0,6,0,No,20,9770,198,53,3879,1,Y,80,No
437,42,Male,Single,Sales,Medical,5,Travel_Rarely,1,Research Director,1,1,2,2,1,2,3,2,22,21,18,3,17,2,0,Yes,17,5160,328,50,13619,1,Y,80,No
438,57,Female,Married,Sales,Life Sciences,3,Travel_Rarely,23,Research Scientist,1,4,4,1,3,3,3,7,37,30,10,8,10,5,1,No,21,8346,647,77,4384,1,Y,80,No
439,21,Male,Single,Sales,Technical Degree,4,Travel_Rarely,21,Research Scientist,2,2,4,3,1,3,4,3,0,0,0,0,0,3,2,No,25,6294,1499,75,20123,1,Y,80,No
440,35,Female,Married,Research & Development,Medical,1,Travel_Rarely,5,Healthcare Representative,3,4,3,2,1,4,3,2,16,10,5,3,5,1,0,Yes,17,11087,619,79,15295,1,Y,80,No
441,59,Male,Divorced,Sales,Medical,2,Travel_Rarely,4,Research Director,1,2,2,3,3,4,3,9,36,34,18,13,14,2,1,No,15,5931,700,42,12812,1,Y,80,No
442,30,Male,Married,Research & Development,Human Resources,4,Travel_Rarely,29,Sales Representative,1,2,3,1,3,2,3,9,8,4,0,0,2,3,1,No,17,4261,1174,33,22480,1,Y,80,No
443,23,Female,Divorced,Research & Development,Technical Degree,4,Travel_Rarely,26,Sales Representative,3,3,2,2,1,3,4,4,0,0,0,0,0,0,0,Yes,19,6942,1217,68,23156,1,Y,80,No
444,39,Female,Divorced,Research & Development,Technical Degree,1,Travel_Rarely,10,Sales Executive,2,2,3,2,1,2,3,2,17,14,11,0,2,2,0,No,12,6325,1040,59,9913,1,Y,80,No
445,39,Female,Divorced,Sales,Life Sciences,4,Travel_Rarely,3,Research Director,4,4,1,1,1,3,3,1,17,16,10,0,10,4,1,Yes,25,10207,142,48,22390,1,Y,80,No
446,46,Male,Single,Research & Development,Life Sciences,5,Travel_Rarely,10,Human Resources,1,1,3,4,3,3,3,6,28,16,8,8,9,6,0,No,18,6584,1321,98,26015,1,Y,80,No
447,31,Male,Divorced,Sales,Marketing,4,Travel_Frequently,1,Manager,5,1,1,3,3,2,3,6,10,3,1,1,1,6,0,No,25,11876,465,41,3297,1,Y,80,No
448,59,Female,Single,Research & Development,Medical,2,Travel_Rarely,20,Manufacturing Director,1,1,3,4,3,3,3,6,36,24,10,1,16,2,1,Yes,25,8115,805,49,21008,1,Y,80,No
449,40,Male,Married,Sales,Marketing,5,Travel_Rarely,12,Manager,3,2,3,4,1,3,3,7,22,17,14,0,10,5,0,Yes,11,10649,1124,83,4889,1,Y,80,No
450,30,Female,Divorced,Sales,Technical Degree,4,Travel_Frequently,2,Manager,5,1,1,1,4,3,3,4,10,4,2,1,1,2,0,No,12,12705,504,67,21542,1,Y,80,No
451,59,Male,Married,Sales,Life Sciences,1,Travel_Rarely,29,Human Resources,4,2,3,4,1,4,3,6,40,31,18,15,10,5,1,No,13,16477,1059,46,18993,1,Y,80,No
452,57,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,24,Sales Executive,5,1,1,1,4,3,3,6,35,21,18,11,6,6,2,No,19,16492,805,68,22850,1,Y,80,No
453,39,Female,Married,Sales,Medical,5,Travel_Frequently,27,Healthcare Representative,1,4,2,4,4,3,3,7,16,7,3,0,3,3,1,No,16,5090,318,59,16353,1,Y,80,No
454,19,Female,Divorced,Research & Development,Life Sciences,2,Non-Travel,29,Sales Representative,4,1,1,3,2,1,3,7,1,0,0,0,0,4,0,Yes,11,11191,401,48,8362,1,Y,80,No
455,43,Male,Married,Research & Development,Marketing,1,Travel_Frequently,1,Manufacturing Director,1,4,3,4,4,2,3,0,21,10,6,0,1,6,0,No,19,6255,1167,77,19388,1,Y,80,No
456,41,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,23,Research Director,4,4,3,2,3,1,3,6,21,17,13,8,12,0,3,No,15,13086,184,85,10258,1,Y,80,No
457,24,Female,Divorced,Sales,Medical,3,Travel_Rarely,23,Sales Executive,2,3,2,1,4,3,4,9,1,0,0,0,0,1,1,No,23,7326,634,34,2779,1,Y,80,No
458,45,Male,Single,Sales,Technical Degree,3,Travel_Rarely,23,Sales Executive,4,4,4,1,1,3,3,5,27,23,4,9,5,4,1,No,22,12622,799,30,4960,1,Y,80,No
459,54,Male,Single,Research & Development,Medical,4,Travel_Rarely,8,Research Director,1,4,3,1,1,3,3,5,35,15,12,0,11,1,0,No,23,6945,637,94,23759,1,Y,80,No
460,22,Male,Married,Sales,Technical Degree,5,Travel_Frequently,12,Research Scientist,5,4,3,4,4,3,3,6,0,0,0,0,0,5,0,No,19,14919,679,46,11508,1,Y,80,No
461,49,Female,Divorced,Research & Development,Life Sciences,4,Travel_Rarely,27,Manufacturing Director,3,3,1,3,4,2,3,5,27,21,16,2,14,1,0,No,21,11635,1460,36,5598,1,Y,80,No
462,24,Female,Single,Research & Development,Technical Degree,1,Travel_Rarely,2,Laboratory Technician,3,3,3,1,3,3,3,4,6,2,0,1,0,2,2,Yes,12,10683,145,72,2895,1,Y,80,No
463,50,Male,Single,Research & Development,Technical Degree,1,Travel_Rarely,19,Sales Representative,3,2,3,1,2,4,3,9,32,31,14,3,17,5,2,Yes,22,12812,1474,52,3029,1,Y,80,No
464,36,Male,Single,Sales,Life Sciences,1,Travel_Rarely,23,Sales Executive,1,3,4,1,2,2,3,0,16,9,5,4,7,3,0,No,17,5423,1109,95,20787,1,Y,80,Yes
465,18,Male,Divorced,Research & Development,Medical,2,Travel_Rarely,24,Manufacturing Director,2,2,3,2,2,3,3,8,0,0,0,0,0,5,1,No,11,6512,1384,98,5262,1,Y,80,Yes
466,59,Male,Single,Sales,Technical Degree,2,Travel_Frequently,18,Human Resources,4,1,1,3,2,1,3,1,37,34,5,13,5,4,2,No,12,13799,1002,30,22063,1,Y,80,No
467,25,Male,Married,Research & Development,Life Sciences,5,Travel_Rarely,23,Manufacturing Director,5,4,3,4,3,3,3,2,3,2,0,0,0,3,2,Yes,15,11506,1421,43,15978,1,Y,80,No
468,43,Male,Divorced,Sales,Technical Degree,2,Travel_Frequently,27,Manager,5,3,1,3,4,3,3,6,21,15,10,3,12,3,1,Yes,16,14574,203,72,7340,1,Y,80,No
469,25,Female,Single,Human Resources,Other,1,Non-Travel,23,Human Resources,3,3,2,4,2,1,3,6,5,4,3,0,1,5,0,No,14,8230,1105,53,24520,1,Y,80,Yes
470,58,Male,Married,Research & Development,Human Resources,5,Non-Travel,4,Manager,2,2,4,2,4,3,3,9,37,17,1,3,8,6,3,No,22,10348,1094,30,14247,1,Y,80,No
471,49,Male,Married,Sales,Medical,2,Travel_Rarely,8,Sales Representative,3,4,4,2,1,4,3,2,28,10,3,1,5,0,0,Yes,17,11869,1404,62,11857,1,Y,80,No
472,52,Male,Divorced,Sales,Marketing,5,Travel_Rarely,9,Human Resources,3,3,4,3,4,2,3,0,30,6,2,2,5,3,0,Yes,14,13229,215,74,18799,1,Y,80,No
473,36,Female,Married,Research & Development,Other,4,Travel_Rarely,10,Manager,2,1,2,1,3,3,3,2,16,7,1,0,2,5,0,No,21,6472,811,100,18446,1,Y,80,Yes
474,38,Female,Married,Sales,Medical,5,Non-Travel,11,Research Director,2,4,3,4,3,3,3,5,17,11,1,0,5,4,1,Yes,17,7705,824,59,20563,1,Y,80,No
475,45,Male,Single,Sales,Life Sciences,5,Travel_Rarely,7,Healthcare Representative,5,4,3,4,2,2,3,3,24,10,5,1,8,3,0,No,22,14798,232,86,17363,1,Y,80,No
476,51,Female,Married,Research & Development,Life Sciences,1,Travel_Frequently,20,Research Director,2,4,1,1,2,3,3,2,30,19,11,3,4,5,1,No,18,9124,971,60,26235,1,Y,80,No
477,54,Male,Divorced,Research & Development,Technical Degree,4,Travel_Frequently,4,Manager,1,2,4,1,2,3,4,9,31,7,3,0,4,3,2,Yes,22,5826,773,77,12399,1,Y,80,No
478,18,Male,Single,Sales,Medical,3,Travel_Frequently,23,Manufacturing Director,4,1,4,3,4,2,4,5,0,0,0,0,0,0,1,No,23,10779,798,98,7016,1,Y,80,No
479,46,Female,Married,Research & Development,Life Sciences,4,Travel_Frequently,20,Manager,4,1,1,3,1,4,3,6,23,18,15,0,5,1,3,Yes,12,13765,1055,87,5174,1,Y,80,No
480,22,Male,Divorced,Sales,Medical,4,Travel_Rarely,28,Manufacturing Director,2,3,4,1,3,3,4,7,4,1,0,0,0,0,2,No,12,6106,1146,78,8168,1,Y,80,No
481,30,Male,Single,Human Resources,Technical Degree,3,Travel_Rarely,1,Manufacturing Director,4,4,2,3,4,3,3,4,10,7,5,3,2,4,1,No,21,12433,1027,88,21330,1,Y,80,No
482,53,Male,Single,Sales,Medical,2,Travel_Frequently,9,Laboratory Technician,5,1,3,2,3,2,4,7,33,26,8,6,6,6,1,No,19,14793,639,43,23346,1,Y,80,No
483,28,Male,Married,Research & Development,Human Resources,5,Travel_Frequently,27,Healthcare Representative,5,3,3,3,3,2,3,9,5,3,2,1,2,2,2,Yes,14,12920,1448,86,9293,1,Y,80,Yes
484,52,Female,Married,Research & Development,Technical Degree,4,Travel_Frequently,15,Manufacturing Director,4,1,1,2,3,3,3,7,34,30,18,11,14,5,1,Yes,11,16204,398,100,4430,1,Y,80,No
485,37,Male,Single,Sales,Other,5,Travel_Rarely,17,Manager,3,4,1,2,3,3,4,2,18,17,5,5,7,6,0,No,25,8359,575,99,20004,1,Y,80,No
486,28,Male,Married,Sales,Human Resources,2,Travel_Rarely,1,Manufacturing Director,1,1,3,2,3,2,3,7,8,1,0,0,0,2,2,No,12,4239,780,48,21647,1,Y,80,No
487,32,Male,Single,Research & Development,Life Sciences,5,Travel_Frequently,23,Healthcare Representative,3,4,4,1,4,3,3,2,10,7,4,2,6,6,1,No,17,11018,537,60,3377,1,Y,80,No
488,40,Male,Married,Research & Development,Marketing,2,Travel_Frequently,8,Research Scientist,5,1,4,1,3,3,3,0,20,7,3,0,2,0,2,No,14,12996,579,78,5333,1,Y,80,No
489,50,Male,Married,Research & Development,Life Sciences,3,Travel_Rarely,28,Manufacturing Director,5,2,2,1,4,3,3,4,29,15,10,4,2,4,0,Yes,16,15245,1397,35,10381,1,Y,80,No
490,44,Male,Married,Research & Development,Other,5,Travel_Frequently,11,Manufacturing Director,4,3,4,4,3,3,4,5,25,17,5,1,3,1,0,No,21,12947,311,78,13611,1,Y,80,No
491,58,Female,Single,Research & Development,Life Sciences,2,Travel_Rarely,6,Human Resources,5,4,2,2,4,3,3,4,35,26,12,6,17,5,1,No,18,17388,816,49,4762,1,Y,80,No
492,55,Male,Divorced,Research & Development,Marketing,2,Travel_Frequently,18,Healthcare Representative,3,2,3,2,4,3,4,2,33,28,18,10,17,0,1,Yes,11,12118,759,90,16806,1,Y,80,No
493,50,Male,Single,Research & Development,Technical Degree,5,Non-Travel,14,Sales Executive,1,4,2,4,1,3,4,2,32,24,5,2,11,5,1,No,12,7242,221,73,14417,1,Y,80,No
494,43,Male,Married,Research & Development,Life Sciences,5,Travel_Frequently,14,Laboratory Technician,3,1,3,4,4,3,3,9,21,17,3,2,3,2,2,No,25,12249,382,58,21196,1,Y,80,No
495,30,Male,Married,Research & Development,Technical Degree,2,Non-Travel,28,Sales Representative,2,2,3,1,3,4,3,2,12,8,1,3,4,1,1,No,14,7029,481,33,25823,1,Y,80,No
496,35,Male,Divorced,Sales,Life Sciences,2,Travel_Rarely,11,Research Scientist,5,4,3,2,2,3,3,7,14,4,3,0,2,3,0,No,17,14391,758,79,4863,1,Y,80,No
497,23,Female,Single,Research & Development,Medical,2,Travel_Rarely,12,Research Scientist,4,2,2,2,4,3,3,2,1,0,0,0,0,6,1,Yes,22,12837,682,68,13306,1,Y,80,No
498,34,Male,Single,Sales,Medical,1,Travel_Rarely,19,Manufacturing Director,3,3,3,4,1,3,3,1,11,6,1,1,0,1,0,No,23,8192,929,74,22601,1,Y,80,No
499,57,Female,Married,Sales,Medical,3,Travel_Rarely,5,Manufacturing Director,2,2,3,3,3,4,3,0,39,30,18,15,10,2,1,No,15,11567,627,31,2231,1,Y,80,No
500,36,Female,Single,Research & Development,Medical,2,Travel_Frequently,25,Healthcare Representative,1,2,2,3,3,4,3,2,17,4,2,1,2,4,0,No,14,6429,1195,60,23263,1,Y,80,No
501,22,Male,Single,Research & Development,Human Resources,5,Travel_Rarely,7,Sales Executive,1,4,3,1,4,2,3,8,0,0,0,0,0,0,0,No,17,4556,613,83,11915,1,Y,80,Yes
502,46,Male,Married,Sales,Medical,1,Travel_Frequently,8,Sales Representative,2,3,1,2,3,2,3,4,27,10,8,5,2,6,3,Yes,16,7303,1294,95,21837,1,Y,80,Yes
503,59,Male,Divorced,Sales,Medical,4,Travel_Rarely,1,Research Scientist,2,3,4,1,3,3,3,6,37,24,3,9,17,3,0,No,21,9977,1499,54,17030,1,Y,80,No
504,55,Female,Single,Research & Development,Human Resources,3,Non-Travel,10,Sales Representative,2,3,1,3,3,4,3,9,36,18,10,8,8,6,1,No,21,10833,1035,47,25432,1,Y,80,No
505,29,Male,Divorced,Research & Development,Technical Degree,4,Travel_Rarely,17,Manager,5,4,4,4,3,4,3,0,11,3,1,1,1,2,1,No,14,13159,242,80,5758,1,Y,80,No
506,37,Female,Divorced,Sales,Life Sciences,1,Travel_Rarely,21,Research Scientist,4,2,4,4,4,3,3,1,16,3,1,1,2,5,0,No,16,12752,1350,45,23805,1,Y,80,No
507,40,Female,Divorced,Sales,Other,3,Travel_Rarely,27,Healthcare Representative,3,4,4,2,4,2,3,9,18,8,6,2,4,2,2,No,21,9259,1243,93,16158,1,Y,80,No
508,28,Female,Married,Research & Development,Life Sciences,4,Travel_Frequently,23,Sales Executive,1,3,1,2,1,4,3,5,9,5,2,0,0,3,0,No,18,4067,880,74,21199,1,Y,80,Yes
509,29,Male,Married,Human Resources,Medical,2,Travel_Frequently,10,Sales Representative,5,4,1,4,3,1,3,6,6,5,1,0,1,2,1,No,19,15529,575,95,21324,1,Y,80,No
510,28,Female,Married,Sales,Medical,5,Travel_Rarely,24,Laboratory Technician,4,4,1,2,2,3,3,3,5,1,0,0,0,3,1,Yes,23,13356,1094,43,16483,1,Y,80,Yes
511,60,Male,Married,Human Resources,Technical Degree,3,Travel_Frequently,6,Manufacturing Director,3,1,2,4,1,3,3,8,40,24,4,7,13,1,1,No,20,10271,961,35,13317,1,Y,80,No
512,50,Male,Divorced,Research & Development,Life Sciences,2,Travel_Rarely,7,Research Scientist,3,2,4,3,4,3,4,6,31,20,16,11,7,3,0,No,20,9784,1178,88,22215,1,Y,80,No
513,54,Male,Single,Sales,Life Sciences,1,Travel_Rarely,11,Manufacturing Director,3,2,4,2,4,3,4,2,33,23,6,10,13,5,2,No,18,12015,1003,50,14649,1,Y,80,No
514,53,Female,Single,Research & Development,Technical Degree,1,Travel_Rarely,16,Manufacturing Director,5,2,3,3,4,2,3,6,33,15,12,6,4,1,3,No,23,13683,1254,54,26383,1,Y,80,No
515,59,Male,Single,Research & Development,Life Sciences,3,Non-Travel,6,Laboratory Technician,4,2,4,1,2,2,4,0,40,11,2,4,3,5,1,No,11,15324,1454,49,18668,1,Y,80,No
516,22,Female,Divorced,Research & Development,Medical,3,Travel_Rarely,27,Human Resources,3,1,1,2,2,3,3,2,1,0,0,0,0,5,1,Yes,12,9318,1152,59,17932,1,Y,80,Yes
517,55,Male,Married,Research & Development,Technical Degree,5,Travel_Rarely,8,Laboratory Technician,4,4,4,2,4,2,3,2,32,30,18,13,12,0,0,No,21,13388,545,93,16566,1,Y,80,No
518,20,Female,Married,Research & Development,Marketing,4,Travel_Rarely,12,Research Scientist,5,4,2,4,1,3,3,7,1,0,0,0,0,4,0,No,20,14509,1363,78,8065,1,Y,80,No
519,38,Male,Divorced,Research & Development,Life Sciences,1,Travel_Rarely,18,Healthcare Representative,2,3,3,3,1,2,3,7,19,12,2,3,5,3,1,No,15,6814,1257,35,20718,1,Y,80,No
520,43,Male,Divorced,Research & Development,Life Sciences,3,Travel_Rarely,13,Laboratory Technician,5,2,4,2,2,3,3,0,21,4,2,0,3,4,0,No,20,13965,761,92,8196,1,Y,80,No
521,33,Female,Single,Human Resources,Other,3,Travel_Rarely,12,Healthcare Representative,4,4,3,4,3,2,4,9,12,2,0,0,0,2,1,No,12,13349,183,61,17381,1,Y,80,No
522,24,Male,Divorced,Research & Development,Medical,1,Travel_Rarely,29,Sales Representative,1,2,2,2,2,3,4,8,2,0,0,0,0,1,0,No,20,3435,1434,78,21899,1,Y,80,Yes
523,26,Male,Divorced,Research & Development,Life Sciences,4,Travel_Frequently,13,Sales Executive,5,2,3,4,1,3,3,4,5,3,2,0,1,2,0,Yes,16,12484,856,55,13276,1,Y,80,Yes
524,53,Male,Single,Research & Development,Life Sciences,3,Travel_Rarely,4,Healthcare Representative,4,4,2,3,3,2,3,2,31,11,9,1,1,1,1,No,19,14378,660,36,26736,1,Y,80,No
525,31,Male,Married,Sales,Medical,1,Travel_Rarely,22,Sales Executive,2,4,3,4,4,3,3,4,9,3,2,0,0,2,0,No,16,6367,949,59,6091,1,Y,80,No
526,31,Male,Married,Sales,Other,3,Travel_Rarely,21,Sales Executive,2,3,2,4,2,2,3,5,10,2,1,1,0,6,1,No,21,7087,198,54,7257,1,Y,80,Yes
527,57,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,7,Sales Executive,5,1,2,2,2,3,3,6,37,8,4,1,1,5,1,No,12,18756,1256,31,9581,1,Y,80,No
528,24,Male,Married,Research & Development,Life Sciences,2,Travel_Rarely,25,Research Scientist,5,1,1,2,2,2,4,3,4,2,1,0,1,1,0,No,23,12318,354,83,26252,1,Y,80,No
529,57,Female,Single,Sales,Medical,2,Travel_Frequently,12,Manufacturing Director,1,4,2,4,2,4,3,1,38,24,9,0,6,3,0,Yes,18,7293,460,91,15351,1,Y,80,No
530,57,Male,Single,Research & Development,Life Sciences,1,Travel_Rarely,5,Human Resources,4,2,3,1,3,1,3,6,37,24,17,14,9,0,0,No,14,11685,881,94,8707,1,Y,80,No
531,43,Male,Single,Sales,Life Sciences,2,Travel_Rarely,6,Human Resources,1,3,4,4,2,3,4,7,22,12,7,5,7,0,1,No,25,6437,1030,47,26140,1,Y,80,No
532,25,Male,Single,Research & Development,Other,5,Travel_Rarely,21,Sales Executive,2,2,1,1,3,3,3,2,3,1,0,0,0,4,0,Yes,12,6120,120,75,12320,1,Y,80,Yes
533,24,Male,Married,Research & Development,Marketing,4,Travel_Rarely,7,Human Resources,3,2,1,4,1,3,3,6,2,1,0,0,0,2,1,No,19,9886,913,67,8662,1,Y,80,No
534,30,Female,Married,Sales,Life Sciences,1,Travel_Rarely,14,Manager,2,4,3,3,3,3,3,5,10,4,1,1,3,4,1,Yes,12,6020,320,72,24703,1,Y,80,Yes
