EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,Attrition,Attrition_Flag,TenureRatio,JobHoppingIndex,SatisfactionScore,IncomeToLevelRatio,PromotionStagnation,ManagerStability,IsFrequentTraveler,HasNoStockOptions,IsEarlyCareer,LongCommute,AgeGroup
372,46,Male,Divorced,Research & Development,Life Sciences,1,Non-Travel,29,Laboratory Technician,3,3,2,2,1,3,4,8,28,10,5,5,2,3,0,Yes,12,9042,887,68,24098,Yes,1,0.35714285714285715,0.2857142857142857,2.0,0.8794071878569923,0.5,0.2,0,1,0,1,46-55
373,35,Female,Single,Research & Development,Other,3,Travel_Rarely,14,Research Scientist,2,2,1,2,4,4,3,4,14,13,7,6,4,6,0,No,12,8302,347,33,10917,No,0,0.9285714285714286,0.2857142857142857,2.75,1.0276558680770607,0.46153846153846156,0.3076923076923077,0,1,0,0,26-35
374,34,Male,Divorced,Research & Development,Marketing,5,Non-Travel,22,Laboratory Technician,5,2,1,2,3,3,3,4,14,2,1,0,1,4,2,No,16,15760,549,99,3630,No,0,0.14285714285714285,0.2857142857142857,2.25,1.0618278889230655,0.0,0.5,0,0,0,1,26-35
375,56,Male,Married,Human Resources,Life Sciences,3,Travel_Rarely,23,Sales Executive,4,2,2,2,3,4,3,3,38,11,5,3,4,5,1,No,11,13569,564,94,10809,No,0,0.2894736842105263,0.07894736842105263,2.75,1.0657132955010122,0.2727272727272727,0.36363636363636365,0,0,0,1,56-60
376,22,Male,Married,Sales,Life Sciences,2,Travel_Rarely,18,Laboratory Technician,5,1,1,2,2,2,3,4,1,0,0,0,0,5,0,Yes,24,10738,502,91,26498,Yes,1,0.0,4.0,1.75,0.723471311627911,0.0,0.0,0,1,1,1,18-25
377,49,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,12,Sales Representative,4,2,1,2,2,3,4,4,31,9,1,0,0,0,3,No,13,15239,1424,42,12816,No,0,0.2903225806451613,0.12903225806451613,2.0,1.196875592168909,0.0,0.0,0,0,0,0,46-55
378,50,Female,Married,Research & Development,Human Resources,5,Travel_Rarely,22,Sales Representative,3,4,1,4,2,3,3,1,29,12,10,2,1,5,0,No,11,9529,847,80,3447,No,0,0.41379310344827586,0.034482758620689655,2.5,0.9267718528079275,0.16666666666666666,0.08333333333333333,0,1,0,1,46-55
379,34,Female,Single,Research & Development,Life Sciences,4,Travel_Frequently,14,Manufacturing Director,2,4,2,4,1,3,3,3,15,6,4,2,2,5,1,No,13,7497,1485,30,11318,No,0,0.4,0.2,2.5,0.928009641408543,0.3333333333333333,0.3333333333333333,1,0,0,0,26-35
380,29,Female,Single,Research & Development,Medical,1,Travel_Frequently,20,Sales Representative,5,4,1,2,2,3,3,8,7,5,4,2,1,3,1,No,21,15572,267,81,20309,No,0,0.7142857142857143,1.1428571428571428,2.0,1.049161414105963,0.4,0.2,1,0,0,1,26-35
381,18,Female,Single,Research & Development,Marketing,1,Travel_Rarely,18,Manager,4,2,2,2,4,2,3,9,0,0,0,0,0,3,1,Yes,19,9761,1098,86,3357,Yes,1,0.0,9.0,2.5,0.7666318429792454,0.0,0.0,0,0,1,1,18-25
382,58,Male,Married,Research & Development,Human Resources,1,Non-Travel,14,Human Resources,5,2,3,3,1,1,4,0,35,30,15,7,17,5,1,No,21,15679,923,50,24578,No,0,0.8571428571428571,0.0,2.0,1.0563705247731436,0.23333333333333334,0.5666666666666667,0,0,0,0,56-60
383,58,Male,Divorced,Research & Development,Marketing,2,Travel_Rarely,4,Research Director,3,1,2,1,3,3,3,7,35,27,9,6,17,0,0,No,16,12536,1168,62,20823,No,0,0.7714285714285715,0.2,2.25,1.2192267758211963,0.2222222222222222,0.6296296296296297,0,1,0,0,56-60
384,28,Female,Married,Research & Development,Technical Degree,5,Travel_Rarely,9,Laboratory Technician,3,2,1,2,3,3,3,2,10,6,4,0,1,3,2,No,15,10073,646,95,20792,No,0,0.6,0.2,2.25,0.9796802259769392,0.0,0.16666666666666666,0,0,0,0,26-35
385,19,Female,Married,Research & Development,Life Sciences,1,Non-Travel,28,Manager,1,3,3,1,1,2,3,6,0,0,0,0,0,5,2,No,21,3829,827,44,20822,No,0,0.0,6.0,1.75,0.6765906022560927,0.0,0.0,0,0,1,1,18-25
386,23,Male,Married,Sales,Human Resources,5,Travel_Rarely,16,Research Director,1,2,1,3,1,3,3,6,4,3,1,0,2,1,0,Yes,12,4155,592,68,5769,Yes,1,0.75,1.5,2.0,0.7341953388284318,0.0,0.6666666666666666,0,1,0,1,18-25
387,20,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,19,Laboratory Technician,4,3,3,1,3,3,4,8,2,1,0,0,0,1,0,No,16,10666,1075,51,22040,No,0,0.5,4.0,2.5,0.8377108121316086,0.0,0.0,0,1,1,1,18-25
388,53,Male,Single,Research & Development,Life Sciences,4,Travel_Rarely,8,Manager,2,1,2,4,1,3,3,7,33,28,5,2,17,0,1,No,12,9263,369,41,7199,No,0,0.8484848484848485,0.21212121212121213,2.5,1.1466124194167446,0.07142857142857142,0.6071428571428571,0,0,0,0,46-55
389,56,Male,Divorced,Research & Development,Other,2,Travel_Rarely,21,Manufacturing Director,1,2,2,2,4,3,3,8,36,8,1,3,4,2,0,No,17,6861,1024,78,5842,No,0,0.2222222222222222,0.2222222222222222,2.75,1.2123499927080315,0.375,0.5,0,1,0,1,56-60
390,24,Female,Single,Research & Development,Life Sciences,5,Travel_Rarely,15,Laboratory Technician,4,2,1,3,1,4,4,8,5,3,1,0,2,2,2,Yes,25,10240,793,97,3029,No,0,0.6,1.6,2.25,0.804252645436684,0.0,0.6666666666666666,0,0,0,1,18-25
391,50,Male,Married,Research & Development,Life Sciences,3,Travel_Rarely,7,Research Scientist,4,2,2,3,1,3,3,6,32,24,18,7,3,6,2,No,23,12869,1216,70,5585,No,0,0.75,0.1875,2.25,1.010735087316864,0.2916666666666667,0.125,0,0,0,0,46-55
392,25,Female,Married,Research & Development,Marketing,2,Travel_Frequently,5,Sales Executive,1,1,1,2,2,3,3,4,5,4,3,2,3,0,0,No,21,4320,152,65,5276,Yes,1,0.8,0.8,2.0,0.7633511104064562,0.5,0.75,1,1,0,0,18-25
393,33,Female,Married,Sales,Life Sciences,2,Travel_Rarely,12,Sales Representative,3,2,3,2,2,3,3,3,15,6,3,3,5,4,2,Yes,20,9476,355,67,24103,No,0,0.4,0.2,2.5,0.9216171767455054,0.5,0.8333333333333334,0,0,0,0,26-35
394,43,Female,Divorced,Research & Development,Life Sciences,5,Travel_Rarely,17,Research Director,3,4,1,2,1,3,4,3,25,20,10,2,2,0,2,No,16,11221,950,41,3525,No,0,0.8,0.12,1.75,1.09133245464978,0.1,0.1,0,0,0,1,36-45
395,48,Male,Single,Research & Development,Marketing,3,Travel_Rarely,9,Manager,1,4,3,4,3,2,3,3,28,21,15,11,10,5,1,No,21,6857,623,44,18182,No,0,0.75,0.10714285714285714,3.0,1.2116431861243218,0.5238095238095238,0.47619047619047616,0,0,0,0,46-55
396,55,Male,Divorced,Sales,Technical Degree,2,Travel_Rarely,8,Laboratory Technician,4,2,2,3,2,4,3,2,37,33,4,4,13,3,3,Yes,23,17016,499,82,3340,No,0,0.8918918918918919,0.05405405405405406,2.75,1.3364417006592397,0.12121212121212122,0.3939393939393939,0,0,0,0,46-55
397,19,Female,Married,Sales,Technical Degree,4,Travel_Rarely,8,Sales Executive,2,2,3,1,3,2,3,3,0,0,0,0,0,2,0,No,19,6466,1406,71,26031,Yes,1,0.0,3.0,2.25,0.800388200793336,0.0,0.0,0,1,1,0,18-25
398,26,Female,Divorced,Research & Development,Life Sciences,3,Non-Travel,9,Manager,5,3,3,2,1,3,3,5,3,2,1,0,1,6,2,No,12,14607,1367,46,16052,No,0,0.6666666666666666,1.6666666666666667,2.25,0.9841446683692398,0.0,0.5,0,0,1,0,26-35
399,30,Male,Married,Research & Development,Medical,4,Travel_Frequently,22,Research Scientist,1,2,3,2,1,4,3,2,7,3,1,0,0,5,0,No,21,3850,228,31,14866,No,0,0.42857142857142855,0.2857142857142857,2.5,0.6803013368205686,0.0,0.0,1,1,0,1,26-35
400,31,Female,Divorced,Research & Development,Technical Degree,3,Travel_Rarely,15,Healthcare Representative,5,3,4,4,1,3,3,3,13,4,0,1,1,0,1,No,12,15777,836,43,3917,No,0,0.3076923076923077,0.23076923076923078,3.0,1.0629732616458887,0.25,0.25,0,0,0,1,26-35
401,60,Male,Divorced,Sales,Life Sciences,1,Travel_Rarely,14,Human Resources,1,2,3,4,1,3,3,7,40,19,4,9,2,1,1,No,15,7690,1033,65,23703,No,0,0.475,0.175,2.75,1.358835657181863,0.47368421052631576,0.10526315789473684,0,0,0,0,56-60
402,51,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,5,Sales Executive,4,4,4,2,4,2,3,3,29,24,9,12,13,1,0,Yes,13,15448,1192,48,12626,No,0,0.8275862068965517,0.10344827586206896,3.0,1.2132905143267474,0.5,0.5416666666666666,0,1,0,0,46-55
403,31,Male,Divorced,Research & Development,Life Sciences,1,Travel_Frequently,16,Manager,4,3,2,2,2,3,3,1,10,3,2,0,2,4,1,No,11,13869,383,81,5500,No,0,0.3,0.1,2.25,1.08927538472279,0.0,0.6666666666666666,1,0,0,1,26-35
404,59,Male,Married,Research & Development,Medical,3,Travel_Rarely,28,Human Resources,3,4,4,1,2,3,3,0,40,28,17,14,16,5,1,No,22,11023,1291,71,19741,No,0,0.7,0.0,2.5,1.0720753629448825,0.5,0.5714285714285714,0,0,0,1,56-60
405,39,Male,Married,Research & Development,Life Sciences,3,Travel_Frequently,22,Manufacturing Director,2,4,2,3,3,2,3,7,17,16,8,3,9,4,1,Yes,20,9075,1017,40,25600,No,0,0.9411764705882353,0.4117647058823529,2.5,1.1233410025053392,0.1875,0.5625,1,0,0,1,36-45
406,39,Male,Divorced,Sales,Technical Degree,4,Travel_Rarely,13,Research Director,1,2,3,1,1,2,3,9,20,18,8,2,2,2,1,No,17,6152,1330,50,2378,No,0,0.9,0.45,1.75,1.0870685257454904,0.1111111111111111,0.1111111111111111,0,0,0,0,36-45
407,36,Male,Married,Research & Development,Other,5,Travel_Rarely,9,Research Director,2,2,2,4,3,4,3,6,13,9,6,0,6,5,0,No,16,8099,1052,32,7046,No,0,0.6923076923076923,0.46153846153846156,3.25,1.0025276891780432,0.0,0.6666666666666666,0,1,0,0,36-45
408,24,Male,Married,Sales,Life Sciences,1,Travel_Frequently,11,Healthcare Representative,4,1,4,3,3,3,4,0,6,5,1,0,2,5,0,Yes,20,11262,1318,32,17971,No,0,0.8333333333333334,0.0,3.25,0.8845208293855406,0.0,0.4,1,1,0,0,18-25
409,58,Male,Single,Research & Development,Marketing,5,Travel_Rarely,1,Laboratory Technician,4,3,2,1,4,3,4,5,36,10,1,0,4,0,0,No,18,13430,141,83,3555,No,0,0.2777777777777778,0.1388888888888889,2.5,1.0547961941615884,0.0,0.4,0,1,0,0,56-60
410,18,Female,Single,Sales,Life Sciences,5,Travel_Rarely,1,Sales Representative,1,3,3,4,1,2,4,2,0,0,0,0,0,3,3,No,14,4329,415,57,20929,No,0,0.0,2.0,2.5,0.7649414252198029,0.0,0.0,0,0,1,0,18-25
411,25,Male,Divorced,Research & Development,Life Sciences,4,Travel_Frequently,23,Manager,1,2,1,4,1,3,3,3,2,1,0,0,0,4,1,No,18,3332,844,92,17254,Yes,1,0.5,1.5,2.25,0.5887698842301647,0.0,0.0,1,0,1,1,18-25
412,27,Female,Married,Sales,Technical Degree,3,Travel_Rarely,25,Healthcare Representative,3,1,3,2,4,3,3,9,7,5,1,1,3,4,1,Yes,22,9308,524,46,15416,Yes,1,0.7142857142857143,1.2857142857142858,3.0,0.9052778262080164,0.2,0.6,0,0,0,1,26-35
413,30,Female,Married,Research & Development,Medical,1,Travel_Rarely,29,Research Scientist,3,4,1,1,2,3,3,8,12,5,2,0,3,1,1,No,19,8074,377,52,10199,Yes,1,0.4166666666666667,0.6666666666666666,1.75,0.7852614061886038,0.0,0.6,0,0,0,1,26-35
414,23,Male,Single,Research & Development,Other,1,Travel_Frequently,19,Sales Representative,5,1,2,2,1,3,3,7,0,0,0,0,0,1,1,No,23,11898,1091,66,13889,No,0,0.0,7.0,2.0,0.8016261562440757,0.0,0.0,1,0,1,1,18-25
415,18,Male,Married,Research & Development,Medical,1,Travel_Frequently,27,Research Scientist,4,3,1,2,3,1,3,5,0,0,0,0,0,2,0,No,18,11742,1490,49,4065,Yes,1,0.0,5.0,1.75,0.9222201721403851,0.0,0.0,1,1,1,1,18-25
416,47,Female,Divorced,Sales,Life Sciences,4,Travel_Frequently,13,Research Scientist,3,1,2,2,2,3,3,5,24,14,10,2,7,2,0,No,17,11818,852,62,20271,No,0,0.5833333333333334,0.20833333333333334,2.25,1.1493955038812138,0.14285714285714285,0.5,1,1,0,0,46-55
417,59,Female,Divorced,Sales,Medical,3,Travel_Frequently,8,Sales Executive,3,1,2,4,4,1,3,9,39,34,18,13,17,6,1,No,22,13997,951,38,17352,No,0,0.8717948717948718,0.23076923076923078,2.75,1.3613207706740016,0.38235294117647056,0.5,1,0,0,0,56-60
418,23,Male,Single,Research & Development,Life Sciences,1,Non-Travel,8,Healthcare Representative,4,4,2,4,4,3,3,6,5,2,1,1,1,4,0,No,14,12213,953,35,15243,No,0,0.4,1.2,3.25,0.9592126522185763,0.5,0.5,0,1,0,0,18-25
419,30,Female,Married,Research & Development,Human Resources,1,Travel_Frequently,7,Research Scientist,3,3,2,3,3,2,3,5,11,9,3,5,5,5,2,Yes,20,10179,683,91,21586,No,0,0.8181818181818182,0.45454545454545453,2.5,0.9899895781017833,0.5555555555555556,0.5555555555555556,1,0,0,0,26-35
420,39,Male,Married,Research & Development,Marketing,1,Travel_Rarely,22,Manufacturing Director,4,1,1,4,1,2,4,0,21,12,4,2,4,0,0,Yes,20,14969,1048,47,14732,No,0,0.5714285714285714,0.0,2.0,1.175669711869309,0.16666666666666666,0.3333333333333333,0,1,0,1,36-45
421,57,Male,Married,Human Resources,Medical,4,Travel_Rarely,1,Laboratory Technician,1,1,3,1,3,3,3,9,39,32,18,15,8,5,1,Yes,15,7678,1229,37,12077,No,0,0.8205128205128205,0.23076923076923078,2.5,1.3567152374307339,0.46875,0.25,0,0,0,0,56-60
422,47,Female,Married,Research & Development,Medical,4,Travel_Rarely,28,Healthcare Representative,5,2,4,1,1,2,3,8,29,22,2,8,3,1,1,No,14,16795,259,49,22045,No,0,0.7586206896551724,0.27586206896551724,2.0,1.131560875283178,0.36363636363636365,0.13636363636363635,0,0,0,1,46-55
423,50,Male,Married,Human Resources,Marketing,4,Travel_Frequently,23,Sales Representative,5,3,2,4,4,3,3,3,29,11,9,5,7,3,1,No,12,18090,485,59,25371,No,0,0.3793103448275862,0.10344827586206896,3.25,1.2188113268158791,0.45454545454545453,0.6363636363636364,1,0,0,1,46-55
424,42,Female,Married,Sales,Technical Degree,1,Travel_Rarely,12,Healthcare Representative,3,2,1,3,3,3,3,2,20,8,0,0,7,2,3,No,13,11439,335,64,22938,No,0,0.4,0.1,2.5,1.11253470713295,0.0,0.875,0,0,0,0,36-45
425,35,Male,Married,Research & Development,Life Sciences,1,Travel_Frequently,21,Manager,3,4,1,1,2,4,4,9,14,12,6,0,6,6,0,No,12,10838,1209,84,14777,Yes,1,0.8571428571428571,0.6428571428571429,2.0,1.054082625745862,0.0,0.5,1,1,0,1,26-35
426,26,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,4,Research Scientist,3,3,3,4,4,2,3,9,7,2,1,0,1,4,0,No,20,9294,992,88,11210,No,0,0.2857142857142857,1.2857142857142858,3.25,0.9039162136632257,0.0,0.5,0,1,0,0,26-35
427,55,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,13,Research Scientist,5,3,4,1,3,3,3,4,34,25,18,12,16,3,1,Yes,12,16511,1040,50,5268,No,0,0.7352941176470589,0.11764705882352941,2.75,1.1124264133254274,0.48,0.64,0,0,0,0,46-55
428,52,Male,Divorced,Human Resources,Medical,4,Travel_Rarely,4,Human Resources,1,2,4,4,2,3,3,2,33,10,6,0,2,3,0,Yes,18,7400,975,45,12386,No,0,0.30303030303030304,0.06060606060606061,3.25,1.307592179862911,0.0,0.2,0,1,0,0,46-55
429,19,Male,Married,Research & Development,Medical,2,Non-Travel,4,Manager,2,3,2,4,1,2,3,7,0,0,0,0,0,4,0,No,12,6668,845,38,22791,Yes,1,0.0,7.0,2.25,0.8253925955598459,0.0,0.0,0,1,1,0,18-25
430,48,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,1,Sales Executive,4,4,2,2,3,3,4,6,25,9,3,3,2,5,1,No,22,13408,1244,41,22019,No,0,0.36,0.24,2.5,1.0530683076186582,0.3333333333333333,0.2222222222222222,0,0,0,0,46-55
431,21,Female,Divorced,Research & Development,Medical,2,Travel_Rarely,24,Manager,4,1,1,3,2,4,4,9,3,2,1,1,1,4,0,No,21,9768,320,32,5207,Yes,1,0.6666666666666666,3.0,2.5,0.7671816250610869,0.5,0.5,0,1,1,1,18-25
432,49,Male,Divorced,Sales,Medical,5,Travel_Rarely,22,Sales Executive,2,3,1,3,1,3,3,5,26,16,11,5,1,5,0,No,15,7822,1071,30,15621,No,0,0.6153846153846154,0.19230769230769232,2.0,0.9682394844734725,0.3125,0.0625,0,1,0,1,46-55
433,53,Male,Single,Research & Development,Life Sciences,1,Non-Travel,26,Sales Executive,1,4,4,4,1,4,3,5,34,12,6,5,6,5,1,No,22,7079,1268,59,18727,No,0,0.35294117647058826,0.14705882352941177,3.25,1.250870951520209,0.4166666666666667,0.5,0,0,0,1,46-55
434,23,Male,Married,Research & Development,Human Resources,4,Travel_Rarely,29,Manufacturing Director,3,2,2,3,3,3,3,1,1,0,0,0,0,0,1,No,14,7630,390,73,19170,No,0,0.0,1.0,2.75,0.7420788369109547,0.0,0.0,0,0,1,1,18-25
435,36,Male,Single,Research & Development,Marketing,3,Travel_Rarely,28,Manager,4,4,2,2,4,3,3,6,17,15,2,8,9,2,2,No,20,12059,1093,88,23884,No,0,0.8823529411764706,0.35294117647058826,2.75,0.9471174464180637,0.5333333333333333,0.6,0,0,0,1,36-45
436,23,Female,Married,Research & Development,Medical,1,Travel_Rarely,29,Manager,4,2,2,1,2,4,3,3,5,3,1,0,0,6,0,No,20,9770,198,53,3879,No,0,0.6,0.6,2.25,0.7673387056558987,0.0,0.0,0,1,0,1,18-25
437,42,Male,Single,Sales,Medical,5,Travel_Rarely,1,Research Director,1,1,2,2,1,2,3,2,22,21,18,3,17,2,0,Yes,17,5160,328,50,13619,No,0,0.9545454545454546,0.09090909090909091,1.75,0.9117804929854894,0.14285714285714285,0.8095238095238095,0,1,0,0,36-45
438,57,Female,Married,Sales,Life Sciences,3,Travel_Rarely,23,Research Scientist,1,4,4,1,3,3,3,7,37,30,10,8,10,5,1,No,21,8346,647,77,4384,No,0,0.8108108108108109,0.1891891891891892,2.75,1.4747519369102506,0.26666666666666666,0.3333333333333333,0,0,0,1,56-60
439,21,Male,Single,Sales,Technical Degree,4,Travel_Rarely,21,Research Scientist,2,2,4,3,1,3,4,3,0,0,0,0,0,3,2,No,25,6294,1499,75,20123,No,0,0.0,3.0,2.75,0.7790973300020502,0.0,0.0,0,0,1,1,18-25
440,35,Female,Married,Research & Development,Medical,1,Travel_Rarely,5,Healthcare Representative,3,4,3,2,1,4,3,2,16,10,5,3,5,1,0,Yes,17,11087,619,79,15295,No,0,0.625,0.125,2.5,1.0782998774353543,0.3,0.5,0,1,0,0,26-35
441,59,Male,Divorced,Sales,Medical,2,Travel_Rarely,4,Research Director,1,2,2,3,3,4,3,9,36,34,18,13,14,2,1,No,15,5931,700,42,12812,No,0,0.9444444444444444,0.25,3.0,1.0480174619955305,0.38235294117647056,0.4117647058823529,0,0,0,0,56-60
442,30,Male,Married,Research & Development,Human Resources,4,Travel_Rarely,29,Sales Representative,1,2,3,1,3,2,3,9,8,4,0,0,2,3,1,No,17,4261,1174,33,22480,No,0,0.5,1.125,2.25,0.7529257132967384,0.0,0.5,0,0,0,1,26-35
443,23,Female,Divorced,Research & Development,Technical Degree,4,Travel_Rarely,26,Sales Representative,3,3,2,2,1,3,4,4,0,0,0,0,0,0,0,Yes,19,6942,1217,68,23156,No,0,0.0,4.0,2.0,0.675165306138381,0.0,0.0,0,1,1,1,18-25
444,39,Female,Divorced,Research & Development,Technical Degree,1,Travel_Rarely,10,Sales Executive,2,2,3,2,1,2,3,2,17,14,11,0,2,2,0,No,12,6325,1040,59,9913,No,0,0.8235294117647058,0.11764705882352941,2.0,0.7829346381097819,0.0,0.14285714285714285,0,1,0,0,36-45
445,39,Female,Divorced,Sales,Life Sciences,4,Travel_Rarely,3,Research Director,4,4,1,1,1,3,3,1,17,16,10,0,10,4,1,Yes,25,10207,142,48,22390,No,0,0.9411764705882353,0.058823529411764705,1.5,0.8016608156222884,0.0,0.625,0,0,0,0,36-45
446,46,Male,Single,Research & Development,Life Sciences,5,Travel_Rarely,10,Human Resources,1,1,3,4,3,3,3,6,28,16,8,8,9,6,0,No,18,6584,1321,98,26015,No,0,0.5714285714285714,0.21428571428571427,3.25,1.163403636786136,0.5,0.5625,0,1,0,0,46-55
447,31,Male,Divorced,Sales,Marketing,4,Travel_Frequently,1,Manager,5,1,1,3,3,2,3,6,10,3,1,1,1,6,0,No,25,11876,465,41,3297,No,0,0.3,0.6,2.25,0.8001439091910105,0.3333333333333333,0.3333333333333333,1,1,0,0,26-35
448,59,Female,Single,Research & Development,Medical,2,Travel_Rarely,20,Manufacturing Director,1,1,3,4,3,3,3,6,36,24,10,1,16,2,1,Yes,25,8115,805,49,21008,No,0,0.6666666666666666,0.16666666666666666,3.25,1.4339338567010167,0.041666666666666664,0.6666666666666666,0,0,0,1,56-60
449,40,Male,Married,Sales,Marketing,5,Travel_Rarely,12,Manager,3,2,3,4,1,3,3,7,22,17,14,0,10,5,0,Yes,11,10649,1124,83,4889,No,0,0.7727272727272727,0.3181818181818182,2.75,1.035700856391187,0.0,0.5882352941176471,0,1,0,0,36-45
450,30,Female,Divorced,Sales,Technical Degree,4,Travel_Frequently,2,Manager,5,1,1,1,4,3,3,4,10,4,2,1,1,2,0,No,12,12705,504,67,21542,No,0,0.4,0.4,2.25,0.855997673145149,0.25,0.25,1,1,0,0,26-35
451,59,Male,Married,Sales,Life Sciences,1,Travel_Rarely,29,Human Resources,4,2,3,4,1,4,3,6,40,31,18,15,10,5,1,No,13,16477,1059,46,18993,No,0,0.775,0.15,3.0,1.2941084803574456,0.4838709677419355,0.3225806451612903,0,0,0,1,56-60
452,57,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,24,Sales Executive,5,1,1,1,4,3,3,6,35,21,18,11,6,6,2,No,19,16492,805,68,22850,No,0,0.6,0.17142857142857143,2.25,1.1111462908705074,0.5238095238095238,0.2857142857142857,0,0,0,1,56-60
453,39,Female,Married,Sales,Medical,5,Travel_Frequently,27,Healthcare Representative,1,4,2,4,4,3,3,7,16,7,3,0,3,3,1,No,16,5090,318,59,16353,No,0,0.4375,0.4375,3.25,0.8994113777705699,0.0,0.42857142857142855,1,0,0,1,36-45
454,19,Female,Divorced,Research & Development,Life Sciences,2,Non-Travel,29,Sales Representative,4,1,1,3,2,1,3,7,1,0,0,0,0,4,0,Yes,11,11191,401,48,8362,No,0,0.0,7.0,1.75,0.8789444682697198,0.0,0.0,0,1,1,1,18-25
455,43,Male,Married,Research & Development,Marketing,1,Travel_Frequently,1,Manufacturing Director,1,4,3,4,4,2,3,0,21,10,6,0,1,6,0,No,19,6255,1167,77,19388,No,0,0.47619047619047616,0.0,3.25,1.1052687952760147,0.0,0.1,1,1,0,0,36-45
456,41,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,23,Research Director,4,4,3,2,3,1,3,6,21,17,13,8,12,0,3,No,15,13086,184,85,10258,No,0,0.8095238095238095,0.2857142857142857,2.25,1.02777833185395,0.47058823529411764,0.7058823529411765,0,0,0,1,36-45
457,24,Female,Divorced,Sales,Medical,3,Travel_Rarely,23,Sales Executive,2,3,2,1,4,3,4,9,1,0,0,0,0,1,1,No,23,7326,634,34,2779,No,0,0.0,9.0,2.5,0.9068425547497647,0.0,0.0,0,0,1,1,18-25
458,45,Male,Single,Sales,Technical Degree,3,Travel_Rarely,23,Sales Executive,4,4,4,1,1,3,3,5,27,23,4,9,5,4,1,No,22,12622,799,30,4960,No,0,0.8518518518518519,0.18518518518518517,2.25,0.9913356338576002,0.391304347826087,0.21739130434782608,0,0,0,1,36-45
459,54,Male,Single,Research & Development,Medical,4,Travel_Rarely,8,Research Director,1,4,3,1,1,3,3,5,35,15,12,0,11,1,0,No,23,6945,637,94,23759,No,0,0.42857142857142855,0.14285714285714285,2.0,1.2271929309659346,0.0,0.7333333333333333,0,1,0,0,46-55
460,22,Male,Married,Sales,Technical Degree,5,Travel_Frequently,12,Research Scientist,5,4,3,4,4,3,3,6,0,0,0,0,0,5,0,No,19,14919,679,46,11508,No,0,0.0,6.0,3.5,1.0051656265763462,0.0,0.0,1,1,1,0,18-25
461,49,Female,Divorced,Research & Development,Life Sciences,4,Travel_Rarely,27,Manufacturing Director,3,3,1,3,4,2,3,5,27,21,16,2,14,1,0,No,21,11635,1460,36,5598,No,0,0.7777777777777778,0.18518518518518517,2.5,1.1315972827600205,0.09523809523809523,0.6666666666666666,0,1,0,1,46-55
462,24,Female,Single,Research & Development,Technical Degree,1,Travel_Rarely,2,Laboratory Technician,3,3,3,1,3,3,3,4,6,2,0,1,0,2,2,Yes,12,10683,145,72,2895,No,0,0.3333333333333333,0.6666666666666666,2.5,1.03900762971425,0.5,0.0,0,0,0,0,18-25
463,50,Male,Single,Research & Development,Technical Degree,1,Travel_Rarely,19,Sales Representative,3,2,3,1,2,4,3,9,32,31,14,3,17,5,2,Yes,22,12812,1474,52,3029,No,0,0.96875,0.28125,2.5,1.2460699945613565,0.0967741935483871,0.5483870967741935,0,0,0,1,46-55
464,36,Male,Single,Sales,Life Sciences,1,Travel_Rarely,23,Sales Executive,1,3,4,1,2,2,3,0,16,9,5,4,7,3,0,No,17,5423,1109,95,20787,Yes,1,0.5625,0.0,2.25,0.9582530258644009,0.4444444444444444,0.7777777777777778,0,1,0,1,36-45
465,18,Male,Divorced,Research & Development,Medical,2,Travel_Rarely,24,Manufacturing Director,2,2,3,2,2,3,3,8,0,0,0,0,0,5,1,No,11,6512,1384,98,5262,Yes,1,0.0,8.0,2.5,0.8060822708886798,0.0,0.0,0,0,1,1,18-25
466,59,Male,Single,Sales,Technical Degree,2,Travel_Frequently,18,Human Resources,4,1,1,3,2,1,3,1,37,34,5,13,5,4,2,No,12,13799,1002,30,22063,No,0,0.918918918918919,0.02702702702702703,1.75,1.0837775639043752,0.38235294117647056,0.14705882352941177,1,0,0,1,56-60
467,25,Male,Married,Research & Development,Life Sciences,5,Travel_Rarely,23,Manufacturing Director,5,4,3,4,3,3,3,2,3,2,0,0,0,3,2,Yes,15,11506,1421,43,15978,No,0,0.6666666666666666,0.6666666666666666,3.25,0.7752152087530959,0.0,0.0,0,0,1,1,18-25
