EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,Attrition,Attrition_Flag
332,33,Female,Divorced,Sales,Other,3,Travel_Rarely,12,Laboratory Technician,4,3,1,4,2,3,3,4,15,5,2,0,1,3,1,No,19,12769,1280,54,15960,No,0
333,31,Female,Single,Research & Development,Medical,2,Non-Travel,28,Manufacturing Director,3,3,1,1,4,3,3,0,10,7,1,3,2,6,0,No,20,11055,155,71,25557,No,0
334,53,Female,Single,Research & Development,Medical,1,Travel_Rarely,18,Manager,2,4,2,3,3,3,4,1,30,11,2,2,5,4,0,No,17,10325,568,50,9013,No,0
335,37,Female,Single,Research & Development,Technical Degree,1,Travel_Rarely,13,Laboratory Technician,5,3,4,3,3,3,3,2,14,12,7,3,1,5,1,No,20,16465,116,52,20861,No,0
336,52,Female,Married,Research & Development,Medical,5,Travel_Rarely,4,Manufacturing Director,1,3,4,4,4,3,3,7,30,14,3,3,7,0,1,No,19,6376,655,93,21497,No,0
337,59,Female,Married,Research & Development,Medical,3,Travel_Rarely,27,Manufacturing Director,1,4,3,4,2,3,3,4,39,26,5,5,6,3,1,No,22,7573,953,85,11250,No,0
338,31,Female,Single,Research & Development,Medical,1,Travel_Rarely,5,Sales Executive,1,4,2,2,3,2,3,0,9,5,2,0,2,2,1,No,14,4342,1449,84,26640,No,0
339,26,Male,Married,Sales,Life Sciences,1,Travel_Rarely,21,Research Director,4,2,2,3,1,3,3,7,8,3,0,0,0,0,0,No,11,11808,1277,56,9383,No,0
340,58,Male,Married,Sales,Technical Degree,2,Travel_Rarely,9,Human Resources,1,4,3,3,3,3,3,5,36,19,2,9,8,0,0,Yes,17,6741,1410,92,24686,No,0
341,45,Male,Married,Sales,Human Resources,5,Travel_Frequently,9,Healthcare Representative,4,4,1,4,3,4,3,1,26,22,9,8,13,1,1,No,23,14832,1013,54,2469,No,0
342,30,Female,Divorced,Research & Development,Human Resources,2,Travel_Rarely,5,Research Scientist,1,3,3,3,4,4,4,5,8,5,1,2,3,0,1,No,12,4578,650,81,9368,No,0
343,44,Male,Married,Research & Development,Human Resources,5,Non-Travel,11,Manager,4,4,4,1,2,3,3,2,24,5,2,2,0,3,2,No,23,14081,1369,83,9636,No,0
344,40,Male,Single,Sales,Medical,3,Travel_Rarely,20,Healthcare Representative,4,1,4,4,4,4,3,6,18,13,11,3,6,0,0,No,17,14292,183,53,10658,No,0
345,56,Male,Single,Sales,Life Sciences,4,Travel_Rarely,13,Healthcare Representative,5,3,1,3,3,2,4,9,35,12,5,5,9,5,2,No,14,15178,1241,73,12912,No,0
346,29,Male,Divorced,Research & Development,Marketing,4,Travel_Rarely,1,Manager,2,3,2,1,1,3,3,3,6,3,1,1,0,4,0,No,18,7076,1483,43,20870,No,0
347,60,Male,Single,Research & Development,Other,1,Travel_Rarely,8,Sales Representative,1,4,2,1,1,2,3,7,38,21,17,3,11,6,0,No,23,8460,131,57,12750,No,0
348,58,Female,Married,Research & Development,Technical Degree,1,Travel_Rarely,5,Sales Executive,4,1,3,1,1,2,3,0,35,20,9,11,9,0,2,No,23,16547,1015,67,16954,No,0
349,25,Female,Divorced,Research & Development,Medical,5,Travel_Rarely,12,Sales Executive,3,4,1,3,2,3,3,4,7,1,0,0,0,0,3,No,20,7989,1326,77,4862,No,0
350,25,Male,Divorced,Research & Development,Marketing,5,Travel_Rarely,27,Sales Executive,5,1,4,4,3,3,4,8,5,2,1,0,0,6,2,No,18,14537,1070,55,2290,No,0
351,40,Male,Married,Sales,Technical Degree,1,Travel_Rarely,28,Research Scientist,1,2,4,2,4,3,3,0,20,4,2,2,3,2,0,No,23,5632,1466,80,11858,No,0
352,19,Male,Married,Research & Development,Human Resources,4,Travel_Frequently,29,Human Resources,3,3,2,1,4,4,3,9,1,0,0,0,0,5,0,Yes,24,7896,484,75,5546,Yes,1
353,30,Female,Married,Research & Development,Technical Degree,5,Travel_Rarely,4,Sales Representative,1,2,2,4,3,3,3,0,12,8,0,4,4,1,1,Yes,22,4364,994,91,4728,No,0
354,36,Female,Married,Research & Development,Medical,5,Travel_Rarely,15,Manager,3,4,2,3,2,4,3,4,18,13,10,4,4,0,2,No,25,10537,1246,32,4137,No,0
355,59,Male,Single,Research & Development,Life Sciences,2,Travel_Rarely,2,Sales Representative,1,4,1,3,3,4,3,1,37,9,4,0,5,3,1,No,23,6914,197,66,8819,No,0
356,60,Female,Single,Sales,Medical,5,Travel_Rarely,15,Sales Executive,4,1,4,1,2,3,3,0,40,11,6,5,2,4,0,No,11,15528,880,80,6468,No,0
357,24,Male,Married,Research & Development,Medical,4,Travel_Rarely,17,Research Scientist,4,2,4,4,1,2,3,3,2,1,0,0,0,0,1,No,11,10085,1444,59,5620,No,0
358,56,Male,Single,Research & Development,Other,5,Travel_Rarely,23,Research Director,1,1,2,1,3,3,3,5,33,20,6,0,6,0,0,No,19,5671,758,51,9622,Yes,1
359,21,Female,Married,Research & Development,Medical,1,Travel_Frequently,10,Healthcare Representative,3,3,3,3,4,3,4,7,3,2,0,0,1,1,0,Yes,25,9683,1242,71,8365,No,0
360,50,Male,Married,Research & Development,Medical,4,Travel_Rarely,2,Healthcare Representative,3,4,2,3,1,4,4,3,27,9,7,4,6,0,1,Yes,15,9630,1137,62,26179,No,0
361,54,Male,Divorced,Research & Development,Medical,1,Travel_Rarely,14,Sales Representative,4,3,1,3,1,1,3,4,35,10,5,2,8,6,0,No,25,12790,477,60,17979,No,0
362,56,Male,Divorced,Research & Development,Marketing,2,Non-Travel,13,Sales Executive,3,1,2,3,1,3,3,1,36,17,13,7,4,6,1,No,23,10706,620,99,18911,No,0
363,27,Female,Married,Research & Development,Medical,1,Travel_Rarely,19,Research Director,3,1,1,2,1,3,3,7,4,2,0,0,1,0,1,No,13,8349,786,60,19156,No,0
364,56,Female,Married,Research & Development,Life Sciences,3,Travel_Rarely,3,Sales Representative,5,1,4,3,1,2,4,1,37,21,6,4,16,3,1,No,18,16528,701,45,3369,No,0
365,22,Female,Single,Research & Development,Human Resources,5,Travel_Rarely,18,Manufacturing Director,3,2,3,2,1,3,3,8,0,0,0,0,0,2,0,No,14,9517,933,31,14342,No,0
366,40,Male,Married,Sales,Medical,4,Travel_Rarely,12,Healthcare Representative,5,3,4,2,1,1,3,1,19,4,1,0,2,0,2,No,12,15774,1013,38,17184,No,0
367,38,Male,Single,Research & Development,Medical,2,Non-Travel,22,Sales Executive,5,1,1,3,2,3,3,6,20,14,6,3,4,4,1,No,21,12990,678,68,25475,No,0
368,31,Female,Divorced,Research & Development,Life Sciences,3,Travel_Rarely,29,Research Scientist,5,4,3,3,3,3,4,3,9,3,2,1,2,5,2,No,14,12291,995,44,12916,No,0
369,18,Male,Divorced,Research & Development,Medical,2,Travel_Rarely,7,Laboratory Technician,5,2,3,1,1,3,4,9,0,0,0,0,0,4,0,No,19,14860,1022,37,8846,No,0
370,51,Female,Divorced,Research & Development,Marketing,4,Travel_Rarely,22,Research Director,4,3,3,4,2,2,3,2,30,13,6,4,9,6,1,No,21,12349,1459,54,20850,No,0
371,32,Female,Divorced,Human Resources,Human Resources,2,Non-Travel,4,Research Scientist,3,3,4,1,4,3,3,9,12,5,1,1,1,4,3,No,17,8606,1242,47,6616,No,0
372,46,Male,Divorced,Research & Development,Life Sciences,1,Non-Travel,29,Laboratory Technician,3,3,2,2,1,3,4,8,28,10,5,5,2,3,0,Yes,12,9042,887,68,24098,Yes,1
373,35,Female,Single,Research & Development,Other,3,Travel_Rarely,14,Research Scientist,2,2,1,2,4,4,3,4,14,13,7,6,4,6,0,No,12,8302,347,33,10917,No,0
374,34,Male,Divorced,Research & Development,Marketing,5,Non-Travel,22,Laboratory Technician,5,2,1,2,3,3,3,4,14,2,1,0,1,4,2,No,16,15760,549,99,3630,No,0
375,56,Male,Married,Human Resources,Life Sciences,3,Travel_Rarely,23,Sales Executive,4,2,2,2,3,4,3,3,38,11,5,3,4,5,1,No,11,13569,564,94,10809,No,0
376,22,Male,Married,Sales,Life Sciences,2,Travel_Rarely,18,Laboratory Technician,5,1,1,2,2,2,3,4,1,0,0,0,0,5,0,Yes,24,10738,502,91,26498,Yes,1
377,49,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,12,Sales Representative,4,2,1,2,2,3,4,4,31,9,1,0,0,0,3,No,13,15239,1424,42,12816,No,0
378,50,Female,Married,Research & Development,Human Resources,5,Travel_Rarely,22,Sales Representative,3,4,1,4,2,3,3,1,29,12,10,2,1,5,0,No,11,9529,847,80,3447,No,0
379,34,Female,Single,Research & Development,Life Sciences,4,Travel_Frequently,14,Manufacturing Director,2,4,2,4,1,3,3,3,15,6,4,2,2,5,1,No,13,7497,1485,30,11318,No,0
380,29,Female,Single,Research & Development,Medical,1,Travel_Frequently,20,Sales Representative,5,4,1,2,2,3,3,8,7,5,4,2,1,3,1,No,21,15572,267,81,20309,No,0
381,18,Female,Single,Research & Development,Marketing,1,Travel_Rarely,18,Manager,4,2,2,2,4,2,3,9,0,0,0,0,0,3,1,Yes,19,9761,1098,86,3357,Yes,1
382,58,Male,Married,Research & Development,Human Resources,1,Non-Travel,14,Human Resources,5,2,3,3,1,1,4,0,35,30,15,7,17,5,1,No,21,15679,923,50,24578,No,0
383,58,Male,Divorced,Research & Development,Marketing,2,Travel_Rarely,4,Research Director,3,1,2,1,3,3,3,7,35,27,9,6,17,0,0,No,16,12536,1168,62,20823,No,0
384,28,Female,Married,Research & Development,Technical Degree,5,Travel_Rarely,9,Laboratory Technician,3,2,1,2,3,3,3,2,10,6,4,0,1,3,2,No,15,10073,646,95,20792,No,0
385,19,Female,Married,Research & Development,Life Sciences,1,Non-Travel,28,Manager,1,3,3,1,1,2,3,6,0,0,0,0,0,5,2,No,21,3829,827,44,20822,No,0
386,23,Male,Married,Sales,Human Resources,5,Travel_Rarely,16,Research Director,1,2,1,3,1,3,3,6,4,3,1,0,2,1,0,Yes,12,4155,592,68,5769,Yes,1
387,20,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,19,Laboratory Technician,4,3,3,1,3,3,4,8,2,1,0,0,0,1,0,No,16,10666,1075,51,22040,No,0
388,53,Male,Single,Research & Development,Life Sciences,4,Travel_Rarely,8,Manager,2,1,2,4,1,3,3,7,33,28,5,2,17,0,1,No,12,9263,369,41,7199,No,0
389,56,Male,Divorced,Research & Development,Other,2,Travel_Rarely,21,Manufacturing Director,1,2,2,2,4,3,3,8,36,8,1,3,4,2,0,No,17,6861,1024,78,5842,No,0
390,24,Female,Single,Research & Development,Life Sciences,5,Travel_Rarely,15,Laboratory Technician,4,2,1,3,1,4,4,8,5,3,1,0,2,2,2,Yes,25,10240,793,97,3029,No,0
391,50,Male,Married,Research & Development,Life Sciences,3,Travel_Rarely,7,Research Scientist,4,2,2,3,1,3,3,6,32,24,18,7,3,6,2,No,23,12869,1216,70,5585,No,0
392,25,Female,Married,Research & Development,Marketing,2,Travel_Frequently,5,Sales Executive,1,1,1,2,2,3,3,4,5,4,3,2,3,0,0,No,21,4320,152,65,5276,Yes,1
393,33,Female,Married,Sales,Life Sciences,2,Travel_Rarely,12,Sales Representative,3,2,3,2,2,3,3,3,15,6,3,3,5,4,2,Yes,20,9476,355,67,24103,No,0
394,43,Female,Divorced,Research & Development,Life Sciences,5,Travel_Rarely,17,Research Director,3,4,1,2,1,3,4,3,25,20,10,2,2,0,2,No,16,11221,950,41,3525,No,0
395,48,Male,Single,Research & Development,Marketing,3,Travel_Rarely,9,Manager,1,4,3,4,3,2,3,3,28,21,15,11,10,5,1,No,21,6857,623,44,18182,No,0
396,55,Male,Divorced,Sales,Technical Degree,2,Travel_Rarely,8,Laboratory Technician,4,2,2,3,2,4,3,2,37,33,4,4,13,3,3,Yes,23,17016,499,82,3340,No,0
397,19,Female,Married,Sales,Technical Degree,4,Travel_Rarely,8,Sales Executive,2,2,3,1,3,2,3,3,0,0,0,0,0,2,0,No,19,6466,1406,71,26031,Yes,1
398,26,Female,Divorced,Research & Development,Life Sciences,3,Non-Travel,9,Manager,5,3,3,2,1,3,3,5,3,2,1,0,1,6,2,No,12,14607,1367,46,16052,No,0
399,30,Male,Married,Research & Development,Medical,4,Travel_Frequently,22,Research Scientist,1,2,3,2,1,4,3,2,7,3,1,0,0,5,0,No,21,3850,228,31,14866,No,0
400,31,Female,Divorced,Research & Development,Technical Degree,3,Travel_Rarely,15,Healthcare Representative,5,3,4,4,1,3,3,3,13,4,0,1,1,0,1,No,12,15777,836,43,3917,No,0
401,60,Male,Divorced,Sales,Life Sciences,1,Travel_Rarely,14,Human Resources,1,2,3,4,1,3,3,7,40,19,4,9,2,1,1,No,15,7690,1033,65,23703,No,0
402,51,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,5,Sales Executive,4,4,4,2,4,2,3,3,29,24,9,12,13,1,0,Yes,13,15448,1192,48,12626,No,0
403,31,Male,Divorced,Research & Development,Life Sciences,1,Travel_Frequently,16,Manager,4,3,2,2,2,3,3,1,10,3,2,0,2,4,1,No,11,13869,383,81,5500,No,0
404,59,Male,Married,Research & Development,Medical,3,Travel_Rarely,28,Human Resources,3,4,4,1,2,3,3,0,40,28,17,14,16,5,1,No,22,11023,1291,71,19741,No,0
405,39,Male,Married,Research & Development,Life Sciences,3,Travel_Frequently,22,Manufacturing Director,2,4,2,3,3,2,3,7,17,16,8,3,9,4,1,Yes,20,9075,1017,40,25600,No,0
406,39,Male,Divorced,Sales,Technical Degree,4,Travel_Rarely,13,Research Director,1,2,3,1,1,2,3,9,20,18,8,2,2,2,1,No,17,6152,1330,50,2378,No,0
407,36,Male,Married,Research & Development,Other,5,Travel_Rarely,9,Research Director,2,2,2,4,3,4,3,6,13,9,6,0,6,5,0,No,16,8099,1052,32,7046,No,0
408,24,Male,Married,Sales,Life Sciences,1,Travel_Frequently,11,Healthcare Representative,4,1,4,3,3,3,4,0,6,5,1,0,2,5,0,Yes,20,11262,1318,32,17971,No,0
409,58,Male,Single,Research & Development,Marketing,5,Travel_Rarely,1,Laboratory Technician,4,3,2,1,4,3,4,5,36,10,1,0,4,0,0,No,18,13430,141,83,3555,No,0
410,18,Female,Single,Sales,Life Sciences,5,Travel_Rarely,1,Sales Representative,1,3,3,4,1,2,4,2,0,0,0,0,0,3,3,No,14,4329,415,57,20929,No,0
411,25,Male,Divorced,Research & Development,Life Sciences,4,Travel_Frequently,23,Manager,1,2,1,4,1,3,3,3,2,1,0,0,0,4,1,No,18,3332,844,92,17254,Yes,1
412,27,Female,Married,Sales,Technical Degree,3,Travel_Rarely,25,Healthcare Representative,3,1,3,2,4,3,3,9,7,5,1,1,3,4,1,Yes,22,9308,524,46,15416,Yes,1
413,30,Female,Married,Research & Development,Medical,1,Travel_Rarely,29,Research Scientist,3,4,1,1,2,3,3,8,12,5,2,0,3,1,1,No,19,8074,377,52,10199,Yes,1
414,23,Male,Single,Research & Development,Other,1,Travel_Frequently,19,Sales Representative,5,1,2,2,1,3,3,7,0,0,0,0,0,1,1,No,23,11898,1091,66,13889,No,0
415,18,Male,Married,Research & Development,Medical,1,Travel_Frequently,27,Research Scientist,4,3,1,2,3,1,3,5,0,0,0,0,0,2,0,No,18,11742,1490,49,4065,Yes,1
416,47,Female,Divorced,Sales,Life Sciences,4,Travel_Frequently,13,Research Scientist,3,1,2,2,2,3,3,5,24,14,10,2,7,2,0,No,17,11818,852,62,20271,No,0
417,59,Female,Divorced,Sales,Medical,3,Travel_Frequently,8,Sales Executive,3,1,2,4,4,1,3,9,39,34,18,13,17,6,1,No,22,13997,951,38,17352,No,0
418,23,Male,Single,Research & Development,Life Sciences,1,Non-Travel,8,Healthcare Representative,4,4,2,4,4,3,3,6,5,2,1,1,1,4,0,No,14,12213,953,35,15243,No,0
419,30,Female,Married,Research & Development,Human Resources,1,Travel_Frequently,7,Research Scientist,3,3,2,3,3,2,3,5,11,9,3,5,5,5,2,Yes,20,10179,683,91,21586,No,0
420,39,Male,Married,Research & Development,Marketing,1,Travel_Rarely,22,Manufacturing Director,4,1,1,4,1,2,4,0,21,12,4,2,4,0,0,Yes,20,14969,1048,47,14732,No,0
421,57,Male,Married,Human Resources,Medical,4,Travel_Rarely,1,Laboratory Technician,1,1,3,1,3,3,3,9,39,32,18,15,8,5,1,Yes,15,7678,1229,37,12077,No,0
422,47,Female,Married,Research & Development,Medical,4,Travel_Rarely,28,Healthcare Representative,5,2,4,1,1,2,3,8,29,22,2,8,3,1,1,No,14,16795,259,49,22045,No,0
423,50,Male,Married,Human Resources,Marketing,4,Travel_Frequently,23,Sales Representative,5,3,2,4,4,3,3,3,29,11,9,5,7,3,1,No,12,18090,485,59,25371,No,0
424,42,Female,Married,Sales,Technical Degree,1,Travel_Rarely,12,Healthcare Representative,3,2,1,3,3,3,3,2,20,8,0,0,7,2,3,No,13,11439,335,64,22938,No,0
425,35,Male,Married,Research & Development,Life Sciences,1,Travel_Frequently,21,Manager,3,4,1,1,2,4,4,9,14,12,6,0,6,6,0,No,12,10838,1209,84,14777,Yes,1
426,26,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,4,Research Scientist,3,3,3,4,4,2,3,9,7,2,1,0,1,4,0,No,20,9294,992,88,11210,No,0
427,55,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,13,Research Scientist,5,3,4,1,3,3,3,4,34,25,18,12,16,3,1,Yes,12,16511,1040,50,5268,No,0
428,52,Male,Divorced,Human Resources,Medical,4,Travel_Rarely,4,Human Resources,1,2,4,4,2,3,3,2,33,10,6,0,2,3,0,Yes,18,7400,975,45,12386,No,0
429,19,Male,Married,Research & Development,Medical,2,Non-Travel,4,Manager,2,3,2,4,1,2,3,7,0,0,0,0,0,4,0,No,12,6668,845,38,22791,Yes,1
430,48,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,1,Sales Executive,4,4,2,2,3,3,4,6,25,9,3,3,2,5,1,No,22,13408,1244,41,22019,No,0
431,21,Female,Divorced,Research & Development,Medical,2,Travel_Rarely,24,Manager,4,1,1,3,2,4,4,9,3,2,1,1,1,4,0,No,21,9768,320,32,5207,Yes,1
432,49,Male,Divorced,Sales,Medical,5,Travel_Rarely,22,Sales Executive,2,3,1,3,1,3,3,5,26,16,11,5,1,5,0,No,15,7822,1071,30,15621,No,0
433,53,Male,Single,Research & Development,Life Sciences,1,Non-Travel,26,Sales Executive,1,4,4,4,1,4,3,5,34,12,6,5,6,5,1,No,22,7079,1268,59,18727,No,0
434,23,Male,Married,Research & Development,Human Resources,4,Travel_Rarely,29,Manufacturing Director,3,2,2,3,3,3,3,1,1,0,0,0,0,0,1,No,14,7630,390,73,19170,No,0
435,36,Male,Single,Research & Development,Marketing,3,Travel_Rarely,28,Manager,4,4,2,2,4,3,3,6,17,15,2,8,9,2,2,No,20,12059,1093,88,23884,No,0
436,23,Female,Married,Research & Development,Medical,1,Travel_Rarely,29,Manager,4,2,2,1,2,4,3,3,5,3,1,0,0,6,0,No,20,9770,198,53,3879,No,0
437,42,Male,Single,Sales,Medical,5,Travel_Rarely,1,Research Director,1,1,2,2,1,2,3,2,22,21,18,3,17,2,0,Yes,17,5160,328,50,13619,No,0
438,57,Female,Married,Sales,Life Sciences,3,Travel_Rarely,23,Research Scientist,1,4,4,1,3,3,3,7,37,30,10,8,10,5,1,No,21,8346,647,77,4384,No,0
439,21,Male,Single,Sales,Technical Degree,4,Travel_Rarely,21,Research Scientist,2,2,4,3,1,3,4,3,0,0,0,0,0,3,2,No,25,6294,1499,75,20123,No,0
440,35,Female,Married,Research & Development,Medical,1,Travel_Rarely,5,Healthcare Representative,3,4,3,2,1,4,3,2,16,10,5,3,5,1,0,Yes,17,11087,619,79,15295,No,0
441,59,Male,Divorced,Sales,Medical,2,Travel_Rarely,4,Research Director,1,2,2,3,3,4,3,9,36,34,18,13,14,2,1,No,15,5931,700,42,12812,No,0
442,30,Male,Married,Research & Development,Human Resources,4,Travel_Rarely,29,Sales Representative,1,2,3,1,3,2,3,9,8,4,0,0,2,3,1,No,17,4261,1174,33,22480,No,0
443,23,Female,Divorced,Research & Development,Technical Degree,4,Travel_Rarely,26,Sales Representative,3,3,2,2,1,3,4,4,0,0,0,0,0,0,0,Yes,19,6942,1217,68,23156,No,0
444,39,Female,Divorced,Research & Development,Technical Degree,1,Travel_Rarely,10,Sales Executive,2,2,3,2,1,2,3,2,17,14,11,0,2,2,0,No,12,6325,1040,59,9913,No,0
445,39,Female,Divorced,Sales,Life Sciences,4,Travel_Rarely,3,Research Director,4,4,1,1,1,3,3,1,17,16,10,0,10,4,1,Yes,25,10207,142,48,22390,No,0
446,46,Male,Single,Research & Development,Life Sciences,5,Travel_Rarely,10,Human Resources,1,1,3,4,3,3,3,6,28,16,8,8,9,6,0,No,18,6584,1321,98,26015,No,0
447,31,Male,Divorced,Sales,Marketing,4,Travel_Frequently,1,Manager,5,1,1,3,3,2,3,6,10,3,1,1,1,6,0,No,25,11876,465,41,3297,No,0
448,59,Female,Single,Research & Development,Medical,2,Travel_Rarely,20,Manufacturing Director,1,1,3,4,3,3,3,6,36,24,10,1,16,2,1,Yes,25,8115,805,49,21008,No,0
449,40,Male,Married,Sales,Marketing,5,Travel_Rarely,12,Manager,3,2,3,4,1,3,3,7,22,17,14,0,10,5,0,Yes,11,10649,1124,83,4889,No,0
450,30,Female,Divorced,Sales,Technical Degree,4,Travel_Frequently,2,Manager,5,1,1,1,4,3,3,4,10,4,2,1,1,2,0,No,12,12705,504,67,21542,No,0
451,59,Male,Married,Sales,Life Sciences,1,Travel_Rarely,29,Human Resources,4,2,3,4,1,4,3,6,40,31,18,15,10,5,1,No,13,16477,1059,46,18993,No,0
452,57,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,24,Sales Executive,5,1,1,1,4,3,3,6,35,21,18,11,6,6,2,No,19,16492,805,68,22850,No,0
453,39,Female,Married,Sales,Medical,5,Travel_Frequently,27,Healthcare Representative,1,4,2,4,4,3,3,7,16,7,3,0,3,3,1,No,16,5090,318,59,16353,No,0
454,19,Female,Divorced,Research & Development,Life Sciences,2,Non-Travel,29,Sales Representative,4,1,1,3,2,1,3,7,1,0,0,0,0,4,0,Yes,11,11191,401,48,8362,No,0
455,43,Male,Married,Research & Development,Marketing,1,Travel_Frequently,1,Manufacturing Director,1,4,3,4,4,2,3,0,21,10,6,0,1,6,0,No,19,6255,1167,77,19388,No,0
456,41,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,23,Research Director,4,4,3,2,3,1,3,6,21,17,13,8,12,0,3,No,15,13086,184,85,10258,No,0
457,24,Female,Divorced,Sales,Medical,3,Travel_Rarely,23,Sales Executive,2,3,2,1,4,3,4,9,1,0,0,0,0,1,1,No,23,7326,634,34,2779,No,0
458,45,Male,Single,Sales,Technical Degree,3,Travel_Rarely,23,Sales Executive,4,4,4,1,1,3,3,5,27,23,4,9,5,4,1,No,22,12622,799,30,4960,No,0
459,54,Male,Single,Research & Development,Medical,4,Travel_Rarely,8,Research Director,1,4,3,1,1,3,3,5,35,15,12,0,11,1,0,No,23,6945,637,94,23759,No,0
460,22,Male,Married,Sales,Technical Degree,5,Travel_Frequently,12,Research Scientist,5,4,3,4,4,3,3,6,0,0,0,0,0,5,0,No,19,14919,679,46,11508,No,0
461,49,Female,Divorced,Research & Development,Life Sciences,4,Travel_Rarely,27,Manufacturing Director,3,3,1,3,4,2,3,5,27,21,16,2,14,1,0,No,21,11635,1460,36,5598,No,0
462,24,Female,Single,Research & Development,Technical Degree,1,Travel_Rarely,2,Laboratory Technician,3,3,3,1,3,3,3,4,6,2,0,1,0,2,2,Yes,12,10683,145,72,2895,No,0
463,50,Male,Single,Research & Development,Technical Degree,1,Travel_Rarely,19,Sales Representative,3,2,3,1,2,4,3,9,32,31,14,3,17,5,2,Yes,22,12812,1474,52,3029,No,0
464,36,Male,Single,Sales,Life Sciences,1,Travel_Rarely,23,Sales Executive,1,3,4,1,2,2,3,0,16,9,5,4,7,3,0,No,17,5423,1109,95,20787,Yes,1
465,18,Male,Divorced,Research & Development,Medical,2,Travel_Rarely,24,Manufacturing Director,2,2,3,2,2,3,3,8,0,0,0,0,0,5,1,No,11,6512,1384,98,5262,Yes,1
466,59,Male,Single,Sales,Technical Degree,2,Travel_Frequently,18,Human Resources,4,1,1,3,2,1,3,1,37,34,5,13,5,4,2,No,12,13799,1002,30,22063,No,0
467,25,Male,Married,Research & Development,Life Sciences,5,Travel_Rarely,23,Manufacturing Director,5,4,3,4,3,3,3,2,3,2,0,0,0,3,2,Yes,15,11506,1421,43,15978,No,0
468,43,Male,Divorced,Sales,Technical Degree,2,Travel_Frequently,27,Manager,5,3,1,3,4,3,3,6,21,15,10,3,12,3,1,Yes,16,14574,203,72,7340,No,0
469,25,Female,Single,Human Resources,Other,1,Non-Travel,23,Human Resources,3,3,2,4,2,1,3,6,5,4,3,0,1,5,0,No,14,8230,1105,53,24520,Yes,1
470,58,Male,Married,Research & Development,Human Resources,5,Non-Travel,4,Manager,2,2,4,2,4,3,3,9,37,17,1,3,8,6,3,No,22,10348,1094,30,14247,No,0
471,49,Male,Married,Sales,Medical,2,Travel_Rarely,8,Sales Representative,3,4,4,2,1,4,3,2,28,10,3,1,5,0,0,Yes,17,11869,1404,62,11857,No,0
472,52,Male,Divorced,Sales,Marketing,5,Travel_Rarely,9,Human Resources,3,3,4,3,4,2,3,0,30,6,2,2,5,3,0,Yes,14,13229,215,74,18799,No,0
473,36,Female,Married,Research & Development,Other,4,Travel_Rarely,10,Manager,2,1,2,1,3,3,3,2,16,7,1,0,2,5,0,No,21,6472,811,100,18446,Yes,1
474,38,Female,Married,Sales,Medical,5,Non-Travel,11,Research Director,2,4,3,4,3,3,3,5,17,11,1,0,5,4,1,Yes,17,7705,824,59,20563,No,0
475,45,Male,Single,Sales,Life Sciences,5,Travel_Rarely,7,Healthcare Representative,5,4,3,4,2,2,3,3,24,10,5,1,8,3,0,No,22,14798,232,86,17363,No,0
476,51,Female,Married,Research & Development,Life Sciences,1,Travel_Frequently,20,Research Director,2,4,1,1,2,3,3,2,30,19,11,3,4,5,1,No,18,9124,971,60,26235,No,0
477,54,Male,Divorced,Research & Development,Technical Degree,4,Travel_Frequently,4,Manager,1,2,4,1,2,3,4,9,31,7,3,0,4,3,2,Yes,22,5826,773,77,12399,No,0
478,18,Male,Single,Sales,Medical,3,Travel_Frequently,23,Manufacturing Director,4,1,4,3,4,2,4,5,0,0,0,0,0,0,1,No,23,10779,798,98,7016,No,0
479,46,Female,Married,Research & Development,Life Sciences,4,Travel_Frequently,20,Manager,4,1,1,3,1,4,3,6,23,18,15,0,5,1,3,Yes,12,13765,1055,87,5174,No,0
480,22,Male,Divorced,Sales,Medical,4,Travel_Rarely,28,Manufacturing Director,2,3,4,1,3,3,4,7,4,1,0,0,0,0,2,No,12,6106,1146,78,8168,No,0
481,30,Male,Single,Human Resources,Technical Degree,3,Travel_Rarely,1,Manufacturing Director,4,4,2,3,4,3,3,4,10,7,5,3,2,4,1,No,21,12433,1027,88,21330,No,0
482,53,Male,Single,Sales,Medical,2,Travel_Frequently,9,Laboratory Technician,5,1,3,2,3,2,4,7,33,26,8,6,6,6,1,No,19,14793,639,43,23346,No,0
